Codigo,Código Barra 1,Código Barra 2,Producto nombre 1,Producto nombre 2,precio por caja,precio por paquete,Categoria,creador
KC1599,6937454004510,,波斯绮梦面部调色盘,Paleta de Maquillaje Sueño Persa,4500.000,5400.000,腮红修容,
KC1679,6937454005319,,杜芭莉花园系列
睫毛膏+卸妆,Máscara de Pestañas + Desmaquillante Serie Jardín Dubarry,2500.000,3000.000,睫毛膏,
KC245857,6976289195857,,94色银光蝴蝶四层翻书,Libro de Maquillaje Mariposa Plateada de Cuatro Capas (94 Colores),9500.000,11400.000,眼影,
KC1569,6937454004213,,幻彩纪元系列16色眼影,Serie Era Fantástica  Sombras de Ojos (16 Colores),3500.000,4200.000,眼影,
KC1545,6937454003971,,蝴蝶结唇彩小套盒,Mini Set de Brillo Labial Lazo,2800.000,3400.000,唇彩,
KC1174,6937454000499,,玫瑰日记腮红膏,Colorete en Crema Diario de Rosas,1500.000,1800.000,腮红修容,
KC1570,6937454004220,,幻彩纪元系列化妆刷,Brochas de Maquillaje Serie Era Fantástica,3500.000,4200.000,化妆刷套装,
3Q203,6975649925721,,卸妆水290ML,Desmaquillante 290ml,2500.000,2800.000,4月30号3Q粉色框,
3Q204,6975649925738,,卸妆水290ML,Desmaquillante 290ml,2500.000,2800.000,4月30号3Q粉色框,
3Q197,6975649925660,,卸妆水290ML,Desmaquillante 290ml,2500.000,2800.000,4月30号3Q粉色框,
3Q200,6975649925691,,卸妆水290ML,Desmaquillante 290ml,2500.000,2800.000,4月30号3Q粉色框,
3Q194,6975649925639,,卸妆水290ML,Desmaquillante 290ml,2500.000,2800.000,4月30号3Q粉色框,
3Q202,6795649925714,,卸妆水290ML,Desmaquillante 290ml,2500.000,2800.000,4月30号3Q粉色框,
XS1110,6910208811107,,玫瑰卸妆水,Desmaquillante de rosas,900.000,1100.000,4月30号手霜脚霜卸妆水粉色框,
XS1109,6910208811091,,玻尿酸卸妆水,Desmaquillante con ácido hialurónico,900.000,1100.000,4月30号手霜脚霜卸妆水粉色框,
XS1107,6910208811077,,VC卸妆水,Desmaquillante con vitamina C,900.000,1100.000,4月30号手霜脚霜卸妆水粉色框,
A518,6971816005180,,口红,Labial,650.000,800.000,4月30号亮芬粉色框,
A519,6971816005197,,口红,Labial,650.000,800.000,4月30号亮芬粉色框,
A520,6971816005203,,口红,Labial,650.000,800.000,4月30号亮芬粉色框,
A375,6971816003759,,12色唇线笔+唇刷,Delineador de labios de 12 colores + Brocha para labios,550.000,700.000,4月30号亮芬粉色框,
F9337,6971816093378,,唇油,Aceite labial,780.000,950.000,4月30号亮芬粉色框,
L0351C,6971816003513,,唇油,Aceite labial,850.000,1050.000,4月30号亮芬粉色框,
L0351A,6971816003513,,唇彩,Brillo labial,850.000,1050.000,4月30号亮芬粉色框,
L0073,697181600734,,唇油,Aceite labial,1500.000,1800.000,4月30号亮芬粉色框,
L1337,6971816013376,,口红水,Labial líquido,1500.000,1800.000,4月30号亮芬粉色框,
L1271,6971816012713,,唇油,Aceite labial,1500.000,1800.000,4月30号亮芬粉色框,
F9293,6971816092937,,遮瑕膏+遮瑕液,Corrector + Corrector líquido,950.000,1150.000,4月30号亮芬粉色框,
8508,6971816085083,,遮瑕液,Corrector líquido,1550.000,1900.000,4月30号亮芬粉色框,
